athlete_external_id,athlete_name,test_date,session_id,pitch_type,pitch_no,velocity_kmh,plate_velocity_kmh,velocity_loss_pct,spin_rpm,true_spin_rpm,spin_efficiency_pct,spin_axis_clock,spin_axis_deg,gyro_degree,ivb_cm,hb_cm,vb_total_cm,release_height_m,release_side_m,release_extension_m,release_angle_deg,vaa_deg,haa_deg,plate_height_cm,plate_side_cm,in_zone,bauer_units
P05,선수05,2026-05-15,SES_20260515_005,FB,3,124.1,114.6,7.6,2168,1798,82.9,5:57,178.7,8.0,35.9,10.0,5.9,1.62,0.29,1.88,-3.0,-6.05,1.46,70.1,-23.7,1,28.1
P05,선수05,2026-05-15,SES_20260515_005,FB,4,123.8,114.8,7.3,2252,1938,86.1,6:45,202.6,6.7,36.9,9.3,6.9,1.6,0.32,1.93,-0.9,-6.27,1.63,116.9,-27.9,0,29.3
P05,선수05,2026-05-15,SES_20260515_005,FB,5,125.6,116.9,6.9,2104,1901,90.4,6:20,190.2,3.8,41.6,5.9,11.6,1.66,0.27,1.92,-2.7,-5.95,1.35,96.4,-3.1,1,27.0
P06,선수06,2026-05-15,SES_20260515_006,FB,1,127.1,118.5,6.7,2167,1961,90.5,5:37,168.4,4.3,44.5,-11.8,14.5,1.72,-0.27,2.03,-2.2,-5.62,-1.47,87.0,15.6,1,27.5
P06,선수06,2026-05-15,SES_20260515_006,FB,2,128.0,118.2,7.7,2279,2069,90.8,5:57,178.6,3.2,39.2,-8.1,9.2,1.69,-0.26,2.06,-1.2,-6.28,-1.25,85.1,2.6,1,28.6
P06,선수06,2026-05-15,SES_20260515_006,FB,3,128.3,119.9,6.6,2157,2005,92.9,6:15,187.7,1.7,42.2,-8.9,12.2,1.71,-0.33,2.02,-2.0,-5.93,-1.5,71.8,15.9,1,27.1
P06,선수06,2026-05-15,SES_20260515_006,FB,4,125.7,117.8,6.3,2322,2103,90.6,5:30,165.1,4.8,43.0,-10.9,13.0,1.76,-0.25,2.07,-2.5,-5.7,-1.77,69.7,16.5,1,29.7
P06,선수06,2026-05-15,SES_20260515_006,FB,5,125.8,118.0,6.2,2320,2053,88.5,6:00,179.9,5.3,40.6,-7.7,10.6,1.74,-0.26,2.03,0.0,-6.29,-1.71,69.3,-7.9,1,29.7
P07,선수07,2026-05-15,SES_20260515_007,FB,1,121.0,112.1,7.4,2053,1720,83.7,6:16,188.2,6.8,33.4,7.1,3.4,1.65,0.3,1.9,-2.2,-6.03,1.57,105.8,-11.5,0,27.3
P07,선수07,2026-05-15,SES_20260515_007,FB,2,119.8,111.4,7.0,1972,1624,82.3,5:57,178.6,7.6,36.7,4.6,6.7,1.71,0.22,1.93,-2.1,-5.58,1.44,92.6,16.7,1,26.5
P07,선수07,2026-05-15,SES_20260515_007,FB,3,119.6,111.7,6.6,1997,1773,88.8,6:05,182.5,7.3,33.7,5.6,3.7,1.66,0.25,1.92,-1.0,-6.19,1.89,128.1,24.5,0,26.9
P07,선수07,2026-05-15,SES_20260515_007,FB,4,119.9,111.2,7.2,2098,1709,81.5,6:36,198.0,11.2,36.7,7.5,6.7,1.69,0.22,1.89,0.8,-6.02,1.82,123.7,8.1,0,28.2
P07,선수07,2026-05-15,SES_20260515_007,FB,5,119.3,111.3,6.7,2075,1702,82.0,6:01,180.4,9.8,34.1,6.9,4.1,1.65,0.26,1.92,-1.6,-5.77,1.7,67.0,-16.8,1,28.0
P08,선수08,2026-05-15,SES_20260515_008,FB,1,125.3,115.3,8.0,2282,1919,84.1,6:41,200.7,8.8,40.1,10.6,10.1,1.67,0.38,2.02,-1.7,-5.88,1.2,96.0,-17.9,1,29.3
P08,선수08,2026-05-15,SES_20260515_008,FB,2,126.9,116.8,7.9,2252,1932,85.8,6:04,181.8,8.2,43.3,10.4,13.3,1.62,0.36,2.04,-1.5,-6.16,1.03,108.1,-15.3,0,28.6
P08,선수08,2026-05-15,SES_20260515_008,FB,3,127.2,119.0,6.5,2204,1933,87.7,6:21,190.4,4.6,39.1,7.7,9.1,1.67,0.29,2.0,-0.1,-6.03,1.2,106.6,-22.1,0,27.9
P08,선수08,2026-05-15,SES_20260515_008,FB,4,125.2,117.3,6.3,2189,1901,86.9,6:18,189.1,4.8,41.7,10.4,11.7,1.65,0.35,2.02,-2.6,-6.03,1.49,107.2,29.9,0,28.1
P08,선수08,2026-05-15,SES_20260515_008,FB,5,125.7,117.3,6.7,2187,1928,88.1,6:13,186.7,4.6,41.9,8.9,11.9,1.62,0.32,2.02,-1.4,-5.89,1.7,111.4,8.3,0,28.0
P09,선수09,2026-05-15,SES_20260515_009,FB,1,130.2,120.9,7.1,2345,2190,93.4,6:16,188.2,4.1,41.8,11.0,11.8,1.75,0.34,2.03,-0.1,-6.31,1.49,83.8,-12.6,1,29.0
P09,선수09,2026-05-15,SES_20260515_009,FB,2,129.7,121.6,6.2,2319,2162,93.3,6:35,197.5,4.2,46.1,8.0,16.1,1.71,0.39,1.97,-2.3,-5.98,1.84,71.9,24.3,1,28.8
P09,선수09,2026-05-15,SES_20260515_009,FB,3,130.6,122.0,6.6,2229,2079,93.3,5:57,178.6,2.5,41.9,11.9,11.9,1.69,0.35,2.04,-2.9,-6.04,1.18,68.1,-19.6,1,27.5
P09,선수09,2026-05-15,SES_20260515_009,FB,4,130.2,120.9,7.1,2393,2125,88.8,6:05,182.7,5.2,44.9,8.8,14.9,1.71,0.3,2.01,-0.4,-5.6,1.73,107.8,6.9,0,29.6
P09,선수09,2026-05-15,SES_20260515_009,FB,5,128.8,119.3,7.4,2360,2146,90.9,6:06,183.2,6.3,46.3,11.3,16.3,1.68,0.37,1.97,0.3,-5.66,1.45,87.9,-15.7,1,29.5
P10,선수10,2026-05-15,SES_20260515_010,FB,1,115.5,108.4,6.2,1899,1484,78.1,5:57,178.7,11.6,30.4,-5.4,0.4,1.64,-0.38,1.8,-0.2,-5.89,-1.82,106.9,-17.9,0,26.5
P10,선수10,2026-05-15,SES_20260515_010,FB,2,116.2,108.4,6.7,1860,1453,78.1,5:36,168.2,12.5,29.9,-3.8,-0.1,1.65,-0.39,1.79,0.8,-5.63,-1.46,61.8,-20.2,1,25.8
P10,선수10,2026-05-15,SES_20260515_010,FB,3,115.3,108.0,6.3,1947,1656,85.1,5:54,176.8,6.3,33.3,-3.1,3.3,1.63,-0.3,1.82,-2.4,-6.13,-1.72,103.4,-7.9,1,27.2
P10,선수10,2026-05-15,SES_20260515_010,FB,4,115.3,106.4,7.7,1924,1550,80.6,5:36,168.2,8.6,31.3,-2.2,1.3,1.66,-0.31,1.83,0.8,-5.69,-1.47,81.0,22.0,1,26.8
P10,선수10,2026-05-15,SES_20260515_010,FB,5,114.4,106.9,6.5,1874,1569,83.7,5:59,179.7,7.4,28.7,-6.9,-1.3,1.66,-0.33,1.78,-2.5,-6.35,-1.05,87.9,-25.3,0,26.4
P11,선수11,2026-05-15,SES_20260515_011,FB,1,128.2,119.0,7.1,2183,1983,90.8,6:19,189.4,3.7,40.9,10.9,10.9,1.71,0.24,2.02,-2.7,-6.15,1.7,127.7,13.6,0,27.4
P11,선수11,2026-05-15,SES_20260515_011,FB,2,126.0,115.9,8.0,2242,2015,89.9,6:04,181.9,6.1,41.5,9.9,11.5,1.73,0.32,1.96,-0.1,-5.75,1.8,103.8,8.2,1,28.6
P11,선수11,2026-05-15,SES_20260515_011,FB,3,125.6,117.8,6.2,2275,2100,92.3,6:10,185.0,2.0,41.3,11.9,11.3,1.7,0.23,2.01,-1.3,-5.8,1.95,77.1,-10.1,1,29.2
P11,선수11,2026-05-15,SES_20260515_011,FB,4,128.3,119.1,7.2,2184,2028,92.9,6:15,187.6,5.4,38.5,12.0,8.5,1.72,0.29,1.98,-2.1,-5.95,1.15,129.3,-5.8,0,27.4
P11,선수11,2026-05-15,SES_20260515_011,FB,5,127.6,117.7,7.8,2189,2046,93.4,6:25,192.6,3.1,41.6,8.7,11.6,1.68,0.27,1.97,-2.8,-5.65,1.26,88.1,22.7,1,27.6
P12,선수12,2026-05-15,SES_20260515_012,FB,1,125.0,115.4,7.7,2153,1876,87.2,6:26,193.1,6.0,40.9,8.3,10.9,1.66,0.29,1.99,-1.7,-5.53,1.44,61.6,-21.4,1,27.7
P12,선수12,2026-05-15,SES_20260515_012,FB,2,124.7,114.8,8.0,2078,1815,87.3,6:46,203.1,4.3,35.0,5.2,5.0,1.64,0.29,1.95,0.2,-6.28,1.13,86.6,23.4,1,26.8
P12,선수12,2026-05-15,SES_20260515_012,FB,3,122.6,114.9,6.3,2231,1997,89.5,6:10,185.0,5.6,39.9,7.7,9.9,1.71,0.26,2.0,-2.2,-6.28,1.91,110.3,-18.4,0,29.3
P12,선수12,2026-05-15,SES_20260515_012,FB,4,124.6,116.7,6.3,2106,1770,84.0,6:11,185.7,8.1,39.6,8.1,9.6,1.71,0.33,1.97,-2.8,-5.65,1.07,82.2,-13.8,1,27.2
P12,선수12,2026-05-15,SES_20260515_012,FB,5,123.1,113.8,7.6,2132,1783,83.7,6:28,193.8,7.6,37.3,7.0,7.3,1.66,0.3,1.93,-1.0,-6.18,1.1,69.8,19.0,1,27.9
P13,선수13,2026-05-15,SES_20260515_013,FB,1,120.1,110.9,7.6,2037,1629,80.0,6:22,191.0,11.4,37.8,5.7,7.8,1.6,0.27,1.92,-1.4,-5.81,1.91,75.6,1.7,1,27.3
P13,선수13,2026-05-15,SES_20260515_013,FB,2,121.2,113.1,6.7,2021,1691,83.7,6:45,202.5,6.2,33.8,9.0,3.8,1.6,0.31,1.87,0.3,-5.68,1.85,91.5,12.1,1,26.8
P13,선수13,2026-05-15,SES_20260515_013,FB,3,119.8,111.5,7.0,2047,1611,78.7,6:04,182.2,9.3,32.4,6.2,2.4,1.64,0.36,1.87,-0.4,-5.75,1.81,85.8,2.0,1,27.5
P13,선수13,2026-05-15,SES_20260515_013,FB,4,120.7,112.2,7.0,2093,1783,85.2,6:29,194.4,8.3,32.3,7.4,2.3,1.59,0.36,1.87,-1.8,-5.8,1.56,121.8,18.5,0,27.9
P13,선수13,2026-05-15,SES_20260515_013,FB,5,121.2,113.8,6.1,2007,1670,83.2,5:53,176.4,6.6,32.0,8.2,2.0,1.66,0.36,1.89,-1.1,-6.07,1.23,63.1,-5.3,1,26.7
P14,선수14,2026-05-15,SES_20260515_014,FB,1,128.9,120.0,6.9,2298,2098,91.3,6:32,195.8,5.0,40.5,7.1,10.5,1.66,0.29,2.1,0.6,-6.28,1.58,98.0,-24.3,1,28.7
P14,선수14,2026-05-15,SES_20260515_014,FB,2,127.3,118.8,6.7,2231,2120,95.0,5:51,175.3,0.6,40.3,9.0,10.3,1.67,0.29,2.1,0.7,-5.77,1.39,98.6,25.0,1,28.2
P14,선수14,2026-05-15,SES_20260515_014,FB,3,129.3,119.3,7.7,2299,2179,94.8,6:24,191.9,2.1,42.2,10.7,12.2,1.64,0.35,2.06,-1.9,-5.98,1.44,120.3,-18.7,0,28.6
P14,선수14,2026-05-15,SES_20260515_014,FB,4,127.1,119.4,6.1,2266,1998,88.1,6:05,182.7,7.8,41.4,10.7,11.4,1.67,0.33,2.07,0.4,-5.73,1.18,87.3,-8.5,1,28.7
P14,선수14,2026-05-15,SES_20260515_014,FB,5,129.6,120.5,7.1,2343,2180,93.0,6:12,185.9,2.7,40.9,12.8,10.9,1.65,0.34,2.07,-2.6,-5.72,1.63,113.0,3.7,0,29.1
P15,선수15,2026-05-15,SES_20260515_015,FB,1,121.1,111.8,7.7,2163,1816,83.9,6:20,189.9,6.9,37.1,-4.3,7.1,1.74,-0.37,1.92,-0.1,-6.18,-1.63,68.4,26.1,0,28.8
P15,선수15,2026-05-15,SES_20260515_015,FB,2,121.4,113.0,6.9,2129,1870,87.8,5:46,172.9,5.2,35.6,-8.6,5.6,1.77,-0.33,1.91,-0.8,-6.17,-1.44,121.7,-20.6,0,28.2
P15,선수15,2026-05-15,SES_20260515_015,FB,3,120.4,110.8,7.9,2128,1879,88.3,5:59,179.5,6.7,33.4,-7.6,3.4,1.76,-0.31,1.94,0.8,-5.77,-1.7,84.2,27.4,0,28.5
P15,선수15,2026-05-15,SES_20260515_015,FB,4,120.7,111.3,7.7,2151,1840,85.5,6:07,183.6,5.3,38.6,-8.4,8.6,1.77,-0.38,1.93,-0.6,-6.05,-1.38,98.6,-26.0,0,28.7
P15,선수15,2026-05-15,SES_20260515_015,FB,5,121.9,112.8,7.5,2131,1752,82.2,6:12,185.8,8.4,36.3,-6.8,6.3,1.77,-0.37,1.92,-1.1,-6.23,-1.98,129.0,-4.4,0,28.1
P16,선수16,2026-05-15,SES_20260515_016,FB,1,128.5,119.4,7.1,2167,1919,88.5,6:34,197.0,5.7,41.9,11.5,11.9,1.64,0.38,2.01,1.0,-6.19,1.83,113.0,7.0,0,27.1
P16,선수16,2026-05-15,SES_20260515_016,FB,2,127.7,119.7,6.2,2216,2024,91.4,5:59,179.6,2.7,42.2,8.7,12.2,1.66,0.38,1.96,-1.5,-5.67,1.03,109.0,-5.0,0,27.9
P16,선수16,2026-05-15,SES_20260515_016,FB,3,126.0,117.0,7.2,2262,2069,91.5,6:04,182.1,6.0,40.5,6.6,10.5,1.66,0.35,2.03,-2.6,-6.27,1.98,94.3,-24.5,1,28.9
P16,선수16,2026-05-15,SES_20260515_016,FB,4,128.5,120.8,6.0,2228,1990,89.3,6:47,203.5,3.4,39.4,6.7,9.4,1.63,0.34,2.01,0.6,-6.32,1.13,106.5,14.7,0,27.9
P16,선수16,2026-05-15,SES_20260515_016,FB,5,128.0,118.3,7.5,2317,2090,90.2,5:59,179.6,6.7,39.8,9.3,9.8,1.62,0.39,2.03,0.0,-5.64,1.97,128.2,-12.2,0,29.1
P17,선수17,2026-05-15,SES_20260515_017,FB,1,115.1,106.4,7.5,2011,1611,80.1,5:56,178.1,11.7,31.2,3.9,1.2,1.69,0.31,1.82,-1.0,-5.64,1.5,69.9,26.7,0,28.1
P17,선수17,2026-05-15,SES_20260515_017,FB,2,117.0,108.4,7.3,1914,1537,80.3,6:38,199.0,8.5,29.7,3.5,-0.3,1.71,0.27,1.83,-0.6,-6.0,1.67,81.9,-2.3,1,26.3
P17,선수17,2026-05-15,SES_20260515_017,FB,3,115.5,106.8,7.6,1855,1482,79.9,6:22,190.8,11.0,32.0,6.1,2.0,1.68,0.29,1.89,-1.1,-6.06,1.04,79.3,-23.2,1,25.8
P17,선수17,2026-05-15,SES_20260515_017,FB,4,114.9,106.9,6.9,1998,1574,78.8,6:29,194.6,12.1,29.7,6.2,-0.3,1.69,0.25,1.85,-1.2,-5.76,1.87,83.0,2.4,1,28.0
P17,선수17,2026-05-15,SES_20260515_017,FB,5,116.5,109.0,6.5,1881,1531,81.4,6:41,200.5,8.1,28.1,2.2,-1.9,1.69,0.26,1.88,0.7,-5.8,1.03,68.2,5.4,1,26.0
P18,선수18,2026-05-15,SES_20260515_018,FB,1,119.8,110.5,7.8,2005,1659,82.8,6:04,182.1,9.0,31.8,6.9,1.8,1.71,0.27,1.84,-2.2,-5.76,1.17,68.1,-9.7,1,26.9
P18,선수18,2026-05-15,SES_20260515_018,FB,2,120.9,111.3,7.9,1972,1676,85.0,6:19,189.7,6.3,31.0,8.0,1.0,1.69,0.26,1.89,0.7,-6.32,1.38,97.2,19.8,1,26.3
P18,선수18,2026-05-15,SES_20260515_018,FB,3,119.3,111.1,6.8,2049,1706,83.2,6:42,201.2,9.8,31.2,4.8,1.2,1.69,0.23,1.86,0.2,-6.32,1.23,102.1,-0.6,1,27.7
P18,선수18,2026-05-15,SES_20260515_018,FB,4,119.4,112.1,6.1,2101,1782,84.8,6:47,203.6,9.2,35.2,3.9,5.2,1.67,0.31,1.87,1.0,-6.21,1.17,115.5,8.4,0,28.3
P18,선수18,2026-05-15,SES_20260515_018,FB,5,118.3,110.1,6.9,1957,1645,84.1,6:09,184.6,8.8,33.0,7.2,3.0,1.68,0.24,1.9,-0.7,-6.44,1.89,103.3,-29.7,0,26.6
P19,선수19,2026-05-15,SES_20260515_019,FB,1,118.0,110.3,6.5,1925,1584,82.3,5:54,177.2,9.7,32.2,3.5,2.2,1.64,0.31,1.84,0.2,-6.2,1.6,72.5,-19.7,1,26.3
P19,선수19,2026-05-15,SES_20260515_019,FB,2,117.0,108.6,7.1,1893,1538,81.2,6:03,181.6,7.7,29.5,6.6,-0.5,1.65,0.32,1.82,-1.0,-6.14,1.86,69.1,-4.5,1,26.0
P19,선수19,2026-05-15,SES_20260515_019,FB,3,116.4,107.3,7.9,1890,1522,80.5,6:33,196.3,10.5,31.4,5.3,1.4,1.67,0.31,1.87,-1.4,-6.11,1.73,116.8,13.1,0,26.1
P19,선수19,2026-05-15,SES_20260515_019,FB,4,118.5,109.5,7.6,1881,1483,78.8,5:55,177.7,11.6,30.9,4.8,0.9,1.66,0.3,1.81,-0.1,-6.29,1.19,102.5,12.4,1,25.5
P19,선수19,2026-05-15,SES_20260515_019,FB,5,117.4,109.3,6.8,1962,1632,83.1,6:01,180.5,7.9,33.2,6.6,3.2,1.64,0.28,1.87,0.3,-6.0,1.88,93.8,-6.1,1,26.9
P20,선수20,2026-05-15,SES_20260515_020,FB,1,127.6,119.2,6.6,2165,1953,90.2,5:37,168.4,4.4,42.1,-11.9,12.1,1.73,-0.3,2.03,0.5,-5.94,-1.2,63.3,23.3,1,27.3
P20,선수20,2026-05-15,SES_20260515_020,FB,2,126.3,117.1,7.3,2154,1868,86.7,5:57,178.3,6.8,43.3,-6.4,13.3,1.74,-0.26,1.99,-0.9,-5.86,-1.08,77.2,18.1,1,27.4
P20,선수20,2026-05-15,SES_20260515_020,FB,3,126.2,116.5,7.6,2224,2048,92.1,5:31,165.6,3.9,41.2,-7.2,11.2,1.73,-0.24,2.04,0.8,-6.22,-1.18,99.0,-13.8,1,28.4
P20,선수20,2026-05-15,SES_20260515_020,FB,4,126.9,116.9,7.9,2274,1955,86.0,6:14,186.8,5.7,43.4,-11.6,13.4,1.76,-0.29,1.99,-0.5,-5.66,-1.33,79.9,-23.5,1,28.8
P20,선수20,2026-05-15,SES_20260515_020,FB,5,127.8,118.1,7.6,2234,1899,85.0,6:01,180.7,5.9,38.9,-10.1,8.9,1.75,-0.27,2.05,1.0,-6.0,-1.16,93.0,28.7,0,28.1
